dt,main,weather,clouds,wind,visibility,pop,sys,dt_txt
1686873600,"{'temp': 298.05, 'feels_like': 297.25, 'temp_min': 298.05, 'temp_max': 298.05, 'pressure': 1009, 'sea_level': 1009, 'grnd_level': 865, 'humidity': 25, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 47},"{'speed': 2.89, 'deg': 7, 'gust': 3.61}",10000,0.17,{'pod': 'd'},2023-06-16 00:00:00
1686884400,"{'temp': 295.54, 'feels_like': 294.49, 'temp_min': 295.54, 'temp_max': 295.54, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 865, 'humidity': 25, 'temp_kf': 0}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",{'all': 71},"{'speed': 2.91, 'deg': 16, 'gust': 3.47}",10000,0.08,{'pod': 'd'},2023-06-16 03:00:00
1686895200,"{'temp': 292.03, 'feels_like': 290.68, 'temp_min': 292.03, 'temp_max': 292.03, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 865, 'humidity': 27, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]",{'all': 38},"{'speed': 1.37, 'deg': 358, 'gust': 1.93}",10000,0.0,{'pod': 'n'},2023-06-16 06:00:00
1686906000,"{'temp': 289.46, 'feels_like': 287.98, 'temp_min': 289.46, 'temp_max': 289.46, 'pressure': 1014, 'sea_level': 1014, 'grnd_level': 865, 'humidity': 32, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",{'all': 0},"{'speed': 0.65, 'deg': 204, 'gust': 1.13}",10000,0.0,{'pod': 'n'},2023-06-16 09:00:00
1686916800,"{'temp': 288.06, 'feels_like': 286.49, 'temp_min': 288.06, 'temp_max': 288.06, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 865, 'humidity': 34, 'temp_kf': 0}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",{'all': 4},"{'speed': 0.49, 'deg': 287, 'gust': 0.83}",10000,0.0,{'pod': 'n'},2023-06-16 12:00:00
1686927600,"{'temp': 291.96, 'feels_like': 290.58, 'temp_min': 291.96, 'temp_max': 291.96, 'pressure': 1016, 'sea_level': 1016, 'grnd_level': 868, 'humidity': 26, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",{'all': 15},"{'speed': 1.03, 'deg': 30, 'gust': 1.24}",10000,0.0,{'pod': 'd'},2023-06-16 15:00:00
1686938400,"{'temp': 295.48, 'feels_like': 294.29, 'temp_min': 295.48, 'temp_max': 295.48, 'pressure': 1015, 'sea_level': 1015, 'grnd_level': 868, 'humidity': 20, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 40},"{'speed': 1.6, 'deg': 49, 'gust': 0.95}",10000,0.0,{'pod': 'd'},2023-06-16 18:00:00
1686949200,"{'temp': 298.57, 'feels_like': 297.61, 'temp_min': 298.57, 'temp_max': 298.57, 'pressure': 1013, 'sea_level': 1013, 'grnd_level': 868, 'humidity': 17, 'temp_kf': 0}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",{'all': 29},"{'speed': 1.97, 'deg': 31, 'gust': 2.49}",10000,0.0,{'pod': 'd'},2023-06-16 21:00:00
1686960000,"{'temp': 300.07, 'feels_like': 299.11, 'temp_min': 300.07, 'temp_max': 300.07, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 867, 'humidity': 17, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",{'all': 22},"{'speed': 3.15, 'deg': 15, 'gust': 4.15}",10000,0.0,{'pod': 'd'},2023-06-17 00:00:00
1686970800,"{'temp': 297, 'feels_like': 296.12, 'temp_min': 297, 'temp_max': 297, 'pressure': 1011, 'sea_level': 1011, 'grnd_level': 866, 'humidity': 26, 'temp_kf': 0}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",{'all': 20},"{'speed': 2.27, 'deg': 3, 'gust': 2.95}",10000,0.0,{'pod': 'd'},2023-06-17 03:00:00
