"All parcel data in this report is for use by the Washoe County Assessor for assessment purposes only. The summary data in this report may not be a complete representation of the parcel or of the improvements thereon. Building information, including unit counts and number of permitted units, should be verified with the appropriate building and planning agencies. Zoning information should be verified with the appropriate planning agency. All parcels are reappraised each year. ",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38
APN,Add Rec,Situs,Sales Date,Sale Price,Sale Verf,RecDoc,Subdivision,Year Blt,Avg Yr Blt,BldgType,Stories,Bldg SF,Grade,Beds,Full Baths,Half Baths,Heat Type,Exterior Walls,Roof Type,Gar Type,Gar Area,Bsmt Type,Bsmt Area,LUC at Sale,Zoning (codes should be verified with the zoning authority) ,Acres,Owner1,Addl Owner,Mailing1,Mailing2,City,State,Zip,PriorOwner,PriorPID,LegalDesc,TaxDist,Total Units
001-052-66,,SUNRAY DR,2005-11-02 00:00:00,1825000,1MGA,03301793,PM 4467,2006,2006,Sgl Fam Res ,TWO,1727,FAIR/AVG,3,2,0,FA,STUCCO,COMP SHINGLE,GARB,361,,0,11,SF6 ,0.214485764503479,,,,,,,,,001-052-47,PM 4467 LT 2,1005,1
001-052-67,,SUNRAY DR,2005-11-02 00:00:00,1825000,1MGA,03301793,PM 4467,2006,2006,Sgl Fam Res ,TWO,2130,FAIR/AVG,4,2,0,FA,STUCCO,COMP SHINGLE,GARB,380,,0,11,SF6 ,0.210927456617355,,,,,,,,,001-052-47,PM 4467 LT 3,1005,1
001-052-68,,SUNRAY DR,2005-11-02 00:00:00,1825000,1MGA,03301793,PM 4467,2006,2006,Sgl Fam Res ,TWO,2040,FAIR/AVG,3,2,0,FA,STUCCO,COMP SHINGLE,GARB,380,,0,11,SF6 ,0.209412306547165,,,,,,,,,001-052-47,PM 4467 LT 4,1005,1
001-052-70,,SUNRAY DR,2005-11-02 00:00:00,1825000,1MGA,03301793,PM 4469,2006,2006,Sgl Fam Res ,TWO,2130,FAIR/AVG,4,2,0,FA,STUCCO,COMP SHINGLE,GARB,380,,0,11,SF6 ,0.17194673418998718,,,,,,,,,Multiple,PM 4469 LT 1,1005,1
001-052-71,,SUNRAY DR,2005-11-02 00:00:00,1825000,1MGA,03301793,333333333333333333333333333333,2006,2006,Sgl Fam Res ,TWO,2040,FAIR/AVG,3,2,0,FA,STUCCO,COMP SHINGLE,GARB,380,,0,11,SF6 ,0.204545453190804,,,,,,,,,001-052-48,PM 4469 LT 2,1005,1
001-052-72,,SUNRAY DR,2005-11-02 00:00:00,1825000,1MGA,03301793,PM 4469,2006,2006,Sgl Fam Res ,TWO,2040,FAIR/AVG,3,2,0,FA,STUCCO,COMP SHINGLE,GARB,380,,0,11,SF6 ,0.16386593878269196,,,,,,,,,Multiple,PM 4469 LT 3,1005,1
001-052-73,,SUNRAY DR,2005-11-02 00:00:00,1825000,1MGA,03301793,PM 4469,2006,2006,Sgl Fam Res ,TWO,2130,FAIR/AVG,4,2,0,FA,STUCCO,COMP SHINGLE,GARB,380,,0,11,SF6 ,0.170546367764473,,,,,,,,,Multiple,PM 4469 LT 4,1005,1
001-052-74,,SUNRAY DR,2005-11-02 00:00:00,1825000,1MGA,03301793,PM 4469,0,0,,,0,,0,0,0,,,,,0,,0,11,SF6 ,0.177617073059082,,,,,,,,,001-052-48,PM 4469 ST,1005,0
001-071-01,,3595 BALBOA DR,2005-04-19 00:00:00,289900,2D,03200480,SIERRA VISTA VILLAS 2,1977,1977,Townhse End,TWO,1424,FAIR/AVG,3,2,1,FA,HARDBOARD,COMP SHINGLE,GARA,440,,0,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS OF RENO 2 LT 1 BLK 1,1005,1
001-071-08,,3495 BALBOA DR,2005-04-25 00:00:00,258000,2D,03203495,SIERRA VISTA VILLAS 2,1978,1978,Townhse End,TWO,1432,FAIR/AVG,3,2,1,FA,HARDBOARD,COMP SHINGLE,GARA,440,,0,21,MF14,0.00100000004749745,,,,,,,,,,SIERRA VISTA VILLAS RENO 2 LT 8 BLK 1,1005,1
